Innings,Over,Ball,BowlerName,BatsmanName,BowlingTeam,BattingTeam,IsBowlerRightHanded,IsBatsmanRightHanded,Wicket,Runs,ExtraType,BounceX,BounceY,InterceptionX,InterceptionY,InterceptionZ,CreaseX,CreaseY,CreaseZ,StumpsX,StumpsY,StumpsZ,ReleaseX,ReleaseY,ReleaseZ,LandingX,LandingY,LandingZ,ReleaseSpeed,Deviation,DeliveryType,Swing,Spin Rate,Ground,Year,Match,
1,13,1,SHREYANKA PATIL,PHOEBE LITCHFIELD,INDIA-WOMEN,AUSTRALIA-WOMEN,true,false,false,1,None,4.375199,0.270882,-7.167035,0.260899,0.307539,-8.840855,0.249484,0.523923,-10.05982551866438,0.2410750081908863,0.6268371503758834,8.340722331408486,0.6802441355098208,1.877199030146081,123,72,0,79.991,1.664182621037647,Spin,-0.7183343800402621,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_3_WANKHEDE-STADIUM-MUMBAI_13348654477604,
1,13,1,AMANJOT KAUR,ELLYSE PERRY,INDIA-WOMEN,AUSTRALIA-WOMEN,true,true,false,0,None,7.603568,-0.376422,-8.42168,-0.455291,0.560286,-8.840664,-0.460936,0.572446,-10.05995284094812,-0.4774439086582279,0.5885711670455139,8.340995997970975,-0.4738326418312531,1.53206329781661,0,0,0,109.302,0.02465559504621789,Seam,-2.472253850374286,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_2_WANKHEDE-STADIUM-MUMBAI_13348395164195,
1,13,2,AMANJOT KAUR,ELLYSE PERRY,INDIA-WOMEN,AUSTRALIA-WOMEN,true,true,false,1,None,5.137475,-0.253144,-7.661511,-0.292334,0.359676,-8.840979,-0.309404,0.458669,-10.06002030460565,-0.3271715528230291,0.533421086838371,8.340725608322103,-0.4882335121861534,1.535339916110784,34,-50,0,109.654,-0.6966660568857266,Seam,-2.157153877350857,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_2_WANKHEDE-STADIUM-MUMBAI_13348395164195,
1,13,2,ASHLEIGH GARDNER,YASTIKA BHATIA,AUSTRALIA-WOMEN,INDIA-WOMEN,true,false,false,0,None,5.72969,0.235378,-8.414805,0.187991,0.539867,-8.840622,0.182789,0.562058,-10.06007161702597,0.1675940365668064,0.5890253256754121,8.34071945541524,0.6108667561101767,2.091811884349516,0,0,0,80.204,1.350319408513045,Spin,-0.5525816694143565,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_1_WANKHEDE-STADIUM-MUMBAI_13348225243707,
1,13,2,SHREYANKA PATIL,ALYSSA HEALY,INDIA-WOMEN,AUSTRALIA-WOMEN,true,true,false,1,None,5.775995,-0.567647,-8.97303,-0.226253,0.669816,-8.840889,-0.236054,0.661786,-10.05989299915469,-0.1452331960180855,0.7140758794439536,8.340877141118082,-0.8283439545556153,1.868166160400867,3,-109,0,81.828,3.180554091628506,Spin,-0.5283111392075632,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_3_WANKHEDE-STADIUM-MUMBAI_13348654477604,
1,13,3,ASHLEIGH GARDNER,YASTIKA BHATIA,AUSTRALIA-WOMEN,INDIA-WOMEN,true,false,false,1,None,3.614333,0.008446,-7.392895,-0.008307,0.218605,-8.840987,-0.034659,0.431667,-10.06002609305332,-0.05758098184810851,0.5519883894890751,8.340863378121284,0.6549815657517908,2.121918560148375,78,-63,0,80.371,2.295231448077378,Spin,-1.511660462090619,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_1_WANKHEDE-STADIUM-MUMBAI_13348225243707,
1,13,3,AMANJOT KAUR,PHOEBE LITCHFIELD,INDIA-WOMEN,AUSTRALIA-WOMEN,true,false,false,0,None,4.436334,-0.050345,-7.440747,-0.064801,0.219412,-8.840804,-0.076051,0.321233,-10.06016978419167,-0.08592826435415951,0.3793996236080379,8.340919466602763,-0.1557259333874348,2.117292794393473,0,0,0,111.805,-1.317450200082818,Seam,0.8224693617044737,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_2_WANKHEDE-STADIUM-MUMBAI_13348395164195,
1,13,3,SHREYANKA PATIL,PHOEBE LITCHFIELD,INDIA-WOMEN,AUSTRALIA-WOMEN,true,false,false,4,None,4.67397,0.134687,-6.835427,0.130574,0.364043,-8.840892,0.124799,0.706185,-10.06015378220668,0.1212394385029813,0.8437446667460722,8.340608166627359,0.6566802870431905,1.863702416545798,-140,114,0,79.923,2.821636631118912,Spin,-1.538223585679637,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_3_WANKHEDE-STADIUM-MUMBAI_13348654477604,
1,13,4,AMANJOT KAUR,PHOEBE LITCHFIELD,INDIA-WOMEN,AUSTRALIA-WOMEN,true,false,false,0,None,4.857374,0.172739,-7.545677,0.181344,0.340052,-8.840611,0.186147,0.46532,-10.06026229408731,0.1907026102479414,0.5551641087230106,8.34054270442498,-0.4333808675514897,1.660985069735065,0,0,0,104.811,-0.8218523215910056,Seam,-2.911655415938995,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_2_WANKHEDE-STADIUM-MUMBAI_13348395164195,
1,13,4,ASHLEIGH GARDNER,HARMANPREET KAUR,AUSTRALIA-WOMEN,INDIA-WOMEN,true,true,true,0,None,5.05392,-0.192902,-6.812225,0.016831,0.421515,-8.840921,0.26524,0.669671,-10.06004448512711,0.4217027929351068,0.7098092278926051,8.340559120015467,-0.808859796508114,2.100881282272627,0,0,0,77.784,4.080563291333123,Spin,-0.4847205643171829,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_1_WANKHEDE-STADIUM-MUMBAI_13348225243707,
1,13,4,SHREYANKA PATIL,PHOEBE LITCHFIELD,INDIA-WOMEN,AUSTRALIA-WOMEN,true,false,false,1,None,3.751783,-0.15148,-7.101106,-0.187322,0.203323,-8.840944,-0.266765,0.47997,-10.06014811753416,-0.323097220187911,0.6159328374122619,8.340577446932294,0.593708825826706,1.881093064515641,52,-78,0,78.034,0.7304472335734011,Spin,-0.7621591686235822,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_3_WANKHEDE-STADIUM-MUMBAI_13348654477604,
1,13,5,SHREYANKA PATIL,ALYSSA HEALY,INDIA-WOMEN,AUSTRALIA-WOMEN,true,true,false,0,None,4.168862,-0.325453,-8.518369,-0.351584,0.471933,-8.840982,-0.354833,0.507403,-10.06016844991171,-0.3671905923956828,0.6070418974570876,8.34072339747556,0.4949609964758567,1.869257577290493,0,0,0,80.183,3.007982145298769,Spin,-0.5236489162621976,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_3_WANKHEDE-STADIUM-MUMBAI_13348654477604,
1,13,5,AMANJOT KAUR,PHOEBE LITCHFIELD,INDIA-WOMEN,AUSTRALIA-WOMEN,true,false,false,1,None,2.525389000000001,0.166666,-8.056696,0.168138,0.126279,-8.840683,0.170358,0.238835,-10.05997149206514,0.1738295694656382,0.3878515189466322,8.340766363947928,-0.4325135781601307,1.706451664388126,16,132,0,104.699,0.006262021089535458,Seam,-3.785660774950954,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_2_WANKHEDE-STADIUM-MUMBAI_13348395164195,
1,13,5,ASHLEIGH GARDNER,JEMIMAH RODRIGUES,AUSTRALIA-WOMEN,INDIA-WOMEN,true,true,false,0,None,5.472462,-0.430227,-8.779661,-0.249802,0.506628,-8.840984,-0.247029,0.50913,-10.06010836118526,-0.1910267488818955,0.5296189019250604,8.340709269982817,-0.806596143201737,2.055399923746405,0,0,0,79.941,1.165553798184372,Spin,-0.9213858371390546,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_1_WANKHEDE-STADIUM-MUMBAI_13348225243707,
1,13,6,ASHLEIGH GARDNER,JEMIMAH RODRIGUES,AUSTRALIA-WOMEN,INDIA-WOMEN,true,true,false,0,None,4.285064,-0.619904,-7.676717,-0.48911,0.425812,-8.840945,-0.405935,0.593446,-10.05996305175766,-0.3161281203693666,0.7073694261778667,8.340684590631675,-0.9232561506683321,2.122641320191582,0,0,0,78.590,2.723508668419023,Spin,-0.207295629114833,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_1_WANKHEDE-STADIUM-MUMBAI_13348225243707,
1,13,6,SHREYANKA PATIL,ALYSSA HEALY,INDIA-WOMEN,AUSTRALIA-WOMEN,true,true,false,0,None,5.593738,-0.237715,-6.638324,-0.302207,0.441974,-8.840864,-0.368822,0.676659,-10.05995211155839,-0.4062358367924823,0.7313347438856725,8.34077671803,0.567909167844006,1.853920208087205,0,0,0,79.777,2.505745036808996,Spin,-1.136038406104706,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_3_WANKHEDE-STADIUM-MUMBAI_13348654477604,
1,13,6,AMANJOT KAUR,ELLYSE PERRY,INDIA-WOMEN,AUSTRALIA-WOMEN,true,true,false,1,None,0.9883959999999998,-0.300163,-999.9,-999.9,-999.9,-8.840538,-0.292934,0.093634,-10.05992934877862,-0.3312211881860856,0.2316342443561054,8.340575930479734,0.2126333666833181,2.170039143951496,-73,110,0,101.038,0,Seam,-0.2050649612273756,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_2_WANKHEDE-STADIUM-MUMBAI_13348395164195,
1,14,1,SHREYANKA PATIL,ELLYSE PERRY,INDIA-WOMEN,AUSTRALIA-WOMEN,true,true,false,1,None,7.244295,-0.511645,-8.666339,-0.229549,0.724238,-8.840895,-0.22098,0.725724,-10.05993035961356,-0.1608799904220747,0.7043329777936289,8.34056944930774,-0.700366101925814,1.827096797628631,104,97,0,80.153,2.17493958849286,Spin,-0.8269786026392195,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_2_WANKHEDE-STADIUM-MUMBAI_13348395164195,
1,14,1,ANNABEL SUTHERLAND,YASTIKA BHATIA,AUSTRALIA-WOMEN,INDIA-WOMEN,true,false,false,0,None,4.140163,0.189866,-7.84995,0.129052,0.263225,-8.840865,0.096811,0.356848,-10.06000931389278,0.05613674478172079,0.4501996945599803,8.34094036129014,0.7045243129222806,1.958210191846654,0,0,0,109.871,0.613020020719057,Seam,-0.5998506716380372,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_1_WANKHEDE-STADIUM-MUMBAI_13348225243707,
1,14,1,MANNAT,PHOEBE LITCHFIELD,INDIA-WOMEN,AUSTRALIA-WOMEN,false,false,false,6,None,4.051426,0.728402,-6.833373,0.701963,0.221099,-8.840681,0.636805,0.509664,-10.06001945167583,0.5966492259790297,0.5816364611605946,8.340599989514647,0.8231652875229649,2.050474854775388,147,117,0,69.544,-2.149841695351046,Spin,1.327492965831669,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_3_WANKHEDE-STADIUM-MUMBAI_13348654477604,
1,14,2,SHREYANKA PATIL,PHOEBE LITCHFIELD,INDIA-WOMEN,AUSTRALIA-WOMEN,true,false,false,1,None,6.1545,0.249769,-9.045186,0.408648,0.721012,-8.840799,0.402232,0.711936,-10.06015373860262,0.4406294390406508,0.7425436818892815,8.340554642840221,0.6648269526184379,1.844597435683301,-45,131,0,82.757,3.611423673892613,Spin,0.1361969359140661,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_2_WANKHEDE-STADIUM-MUMBAI_13348395164195,
1,14,2,ANNABEL SUTHERLAND,YASTIKA BHATIA,AUSTRALIA-WOMEN,INDIA-WOMEN,true,false,false,1,None,8.125516,0.605692,-8.389634,0.433582,0.680327,-8.840882,0.42058,0.693635,-10.05981517947386,0.3847419472528752,0.7051312699809438,8.340590786990848,0.8932603370469562,1.945115054662897,20,138,0,98.401,0.05339402816383199,Seam,0.2419641704813002,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_1_WANKHEDE-STADIUM-MUMBAI_13348225243707,
1,14,2,MANNAT,PHOEBE LITCHFIELD,INDIA-WOMEN,AUSTRALIA-WOMEN,false,false,false,0,None,5.325236,0.502793,-6.654809,0.338831,0.550952,-8.840815,0.148395,0.830015,-10.06012618360279,0.04037266598953643,0.8396930656598478,8.340915211924894,0.7614676448448723,2.089125873839318,0,0,0,67.122,-4.039114309183819,Spin,0.6397167406454517,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_3_WANKHEDE-STADIUM-MUMBAI_13348654477604,
1,14,3,ANNABEL SUTHERLAND,JEMIMAH RODRIGUES,AUSTRALIA-WOMEN,INDIA-WOMEN,true,true,false,1,None,8.889858,-0.182788,-8.496146,0.232496,0.882941,-8.840687,0.2511,0.900871,-10.05980686841566,0.3160187316644132,0.9448679403216954,8.340762852728574,-0.5806022435370981,1.944510920792452,-125,69,0,106.685,0.0266573138489157,Seam,1.804094514229476,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_1_WANKHEDE-STADIUM-MUMBAI_13348225243707,
1,14,3,MANNAT,PHOEBE LITCHFIELD,INDIA-WOMEN,AUSTRALIA-WOMEN,false,false,false,0,None,4.471627,0.382878,-8.758272,0.187134,0.665466,-8.840756,0.181961,0.673122,-10.06002078892744,0.1050163919585396,0.7339394268092073,8.340665115364228,0.7468659240705176,2.086392424578972,0,0,0,68.207,-2.562908907989372,Spin,1.098485199166779,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_3_WANKHEDE-STADIUM-MUMBAI_13348654477604,
1,14,3,SHREYANKA PATIL,ELLYSE PERRY,INDIA-WOMEN,AUSTRALIA-WOMEN,true,true,false,0,None,4.804097,-0.402193,-8.96319,0.135435,0.730143,-8.84085,0.117466,0.718886,-10.05989309463442,0.2972286639807346,0.7945332147775871,8.341032418029123,-0.6985688720786294,1.883239880810923,0,0,0,73.793,6.605882695683995,Spin,0.5558858014140385,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_2_WANKHEDE-STADIUM-MUMBAI_13348395164195,
1,14,4,SHREYANKA PATIL,ELLYSE PERRY,INDIA-WOMEN,AUSTRALIA-WOMEN,true,true,false,0,None,4.4606,-0.470308,-8.943062,-0.528384,0.473138,-8.840694,-0.526588,0.465028,-10.05991761208994,-0.5480459752951652,0.5403245843590869,8.34083079725923,-0.7134122080036583,1.816224444353164,0,0,0,89.048,2.012195464566961E-4,Spin,-3.773033150077358,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_2_WANKHEDE-STADIUM-MUMBAI_13348395164195,
1,14,4,MANNAT,PHOEBE LITCHFIELD,INDIA-WOMEN,AUSTRALIA-WOMEN,false,false,false,0,None,5.325356,0.471312,-8.650463,0.275091,0.666629,-8.840905,0.265379,0.677489,-10.06005973376745,0.2028160160563415,0.7021317987494827,8.340598768507018,0.7998150426208337,2.05631783751749,0,0,0,68.991,-1.926187170906082,Spin,1.036255546156839,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_3_WANKHEDE-STADIUM-MUMBAI_13348654477604,
1,14,4,ANNABEL SUTHERLAND,YASTIKA BHATIA,AUSTRALIA-WOMEN,INDIA-WOMEN,true,false,false,0,None,5.043845,0.045163,-8.229208,-0.18459,0.387194,-8.840883,-0.230197,0.437265,-10.06008814574736,-0.3230210428539471,0.5182711234027063,8.340767691405457,0.7328311792802723,1.9756635276024,0,0,0,108.781,-1.331328172304352,Seam,0.6186632922178767,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_1_WANKHEDE-STADIUM-MUMBAI_13348225243707,
1,14,5,ANNABEL SUTHERLAND,YASTIKA BHATIA,AUSTRALIA-WOMEN,INDIA-WOMEN,true,false,false,1,None,5.846411,0.533121,-8.254511,0.624931,0.470745,-8.840817,0.638954,0.513044,-10.05993103345356,0.6687322146116951,0.5809080793235025,8.340529706556662,0.7352622608370486,1.947271234533073,11,124,0,107.162,0.906125353266514,Seam,2.410801664956141,0,WANKHEDE-STADIUM-MUMBAI,2023,INDIA-WOMEN_AUSTRALIA-WOMEN_ODI_1_WANKHEDE-STADIUM-MUMBAI_13348225243707,
